[run number],number-of-voters,majority-utility-stdev,majority-mean-utility,payoff-include-votes-cost?,behavior-under-qv,calibration,poll-response-rate,variance-of-pmp,r,voting-mechanism,limit-votes?,minority-fraction,[step],mean payoff-sign-list
115,1001,3,4,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,1
116,1001,3,4,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,1
117,1001,3,4,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,1
118,1001,3,4,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,1
119,1001,3,4,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,1
120,1001,3,4,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,1
121,1001,3,4,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,1
122,1001,3,4,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,1
124,1001,3,4,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,1
123,1001,3,4,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,1
125,1001,3,4,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,1
126,1001,3,4,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,1
127,1001,5,0,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,0.94
128,1001,5,0,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,0.947
129,1001,5,0,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,0.949
130,1001,5,0,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,0.963
131,1001,5,0,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,0.956
132,1001,5,0,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,0.958
133,1001,5,0,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,0.953
134,1001,5,0,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,0.974
136,1001,5,0,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,0.97
135,1001,5,0,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,0.965
137,1001,5,0,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,0.964
138,1001,5,0,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,0.979
