[run number],number-of-voters,minority-fraction,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,calibration,marginal-pivotality,variance-of-perceived-pivotality,mpp-divided,limit-votes?,payoff-include-votes-cost?,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
63,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,10,FALSE,FALSE,1p1v,1000,0.778,1.572700564,3.966127213,-0.414,3.254411651,0.778
62,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,1,FALSE,FALSE,QV,1000,0.844,2.246500946,3.34332036,0.519857184,2.239376195,0.763
65,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,100,FALSE,FALSE,1p1v,1000,0.756,1.647413242,3.938005127,-0.37,3.233814707,0.756
64,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,10,FALSE,FALSE,QV,1000,0.859,2.261761834,3.407303869,0.057552966,0.240337797,0.773
66,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,100,FALSE,FALSE,QV,1000,0.859,2.409303282,3.767354825,0.006505045,0.024452408,0.785
67,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,1,FALSE,FALSE,1p1v,1000,0.777,1.538905602,3.948371595,-0.742,3.375919554,0.777
69,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,10,FALSE,FALSE,1p1v,1000,0.786,1.623959492,3.730625046,-0.432,3.310639868,0.786
68,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,1,FALSE,FALSE,QV,1000,0.848,2.444145645,3.767102405,0.622083721,2.425091523,0.782
71,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,100,FALSE,FALSE,1p1v,1000,0.776,1.451612252,4.049287891,-0.372,3.304623509,0.776
70,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,10,FALSE,FALSE,QV,1000,0.859,2.510057155,3.799009282,0.079325303,0.250037702,0.77
73,51,0,0,1,10,1,1. prop8-mean>0,0.5,0,1,FALSE,FALSE,1p1v,1000,0.612,1.846652094,9.98164066,-2.26,6.732735679,0.612
72,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.083,100,FALSE,FALSE,QV,1000,0.846,2.271560636,3.294665365,0.006763181,0.023276538,0.795
74,51,0,0,1,10,1,1. prop8-mean>0,0.5,0,1,FALSE,FALSE,QV,1000,1,7.430679184,7.52234091,2.816362151,4.474833342,0.667
75,51,0,0,1,10,1,1. prop8-mean>0,0.5,0,10,FALSE,FALSE,1p1v,1000,0.61,1.892682941,10.64974217,-1.936,6.866954133,0.61
76,51,0,0,1,10,1,1. prop8-mean>0,0.5,0,10,FALSE,FALSE,QV,1000,1,7.637547582,7.457649033,0.27499619,0.457513965,0.625
