u,v
-0.896639813,-0.448319906
6.364652946,3.182326473
3.583627939,1.791813969
2.329013732,1.164506866
-3.125363219,-1.56268161
-1.66123231,-0.830616155
3.274948371,1.637474186
2.265601644,1.132800822
-2.774146201,-1.3870731
1.785840025,0.892920012
-2.816311726,-1.408155863
-0.59675634,-0.29837817
-2.929536819,-1.464768409
4.772549735,2.386274867
-0.189459242,-0.094729621
0.768771442,0.384385721
-0.103299682,-0.051649841
4.874489438,2.437244719
5.268909583,2.634454791
2.629609363,1.314804682
-3.062707513,-1.531353756
1.883363358,0.941681679
-0.650411124,-0.325205562
-0.133654809,-0.066827405
0.268523488,0.134261744
2.847662611,1.423831305
-3.114685319,-1.55734266
-6.826825456,-3.413412728
-1.965558194,-0.982779097
-5.63958248,-2.81979124
0.559259102,0.279629551
-5.848444782,-2.924222391
-4.887705193,-2.443852597
-3.471525755,-1.735762878
0.610574187,0.305287093
-2.493582966,-1.246791483
4.097293833,2.048646917
-2.338876163,-1.169438082
2.649420334,1.324710167
-1.200383601,-0.600191801
0.042445374,0.021222687
1.977573174,0.988786587
4.395918821,2.19795941
-0.747581042,-0.373790521
-0.705461548,-0.352730774
1.660229787,0.830114893
2.303368619,1.151684309
-0.082841093,-0.041420546
0.45038431,0.225192155
2.327429722,1.163714861
-1.799290589,-0.899645295
5.315819442,2.657909721
-4.137155745,-2.068577872
0.670798009,0.335399004
-3.304250327,-1.652125163
1.856223413,0.928111706
-0.910640918,-0.455320459
-0.220221194,-0.110110597
-3.018540119,-1.50927006
0.499597666,0.249798833
4.25251193,2.126255965
1.354550433,0.677275217
2.769379269,1.384689634
-0.870289981,-0.435144991
-2.244140765,-1.122070382
-1.792375305,-0.896187653
5.854607043,2.927303522
-0.347554994,-0.173777497
0.85431979,0.427159895
2.245479963,1.122739981
0.896047172,0.448023586
3.636629517,1.818314758
-0.441037891,-0.220518946
-2.859361586,-1.429680793
1.620023783,0.810011892
3.354127207,1.677063603
-3.754775484,-1.877387742
-1.43722581,-0.718612905
2.125803233,1.062901616
-1.258888133,-0.629444066
1.495852504,0.747926252
-3.579520892,-1.789760446
0.368707429,0.184353714
-2.163317373,-1.081658686
3.416730962,1.708365481
0.157402553,0.078701277
-1.496153305,-0.748076652
4.64272499,2.321362495
4.327156188,2.163578094
-0.543018093,-0.271509047
0.303746422,0.151873211
3.618453156,1.809226578
-0.955567244,-0.477783622
-1.857928046,-0.928964023
0.198916956,0.099458478
3.496879754,1.748439877
0.672263842,0.336131921
0.328262178,0.164131089
2.513773086,1.256886543
0.998826852,0.499413426
-0.167053942,-0.083526971
3.236737564,1.618368782
0.419673922,0.209836961
-4.400342007,-2.200171004
-0.009223367,-0.004611683
6.032933831,3.016466916
-2.351473431,-1.175736715
1.251491085,0.625745542
-0.616441178,-0.308220589
0.113852552,0.056926276
3.342617044,1.671308522
0.568848283,0.284424142
1.062605236,0.531302618
1.247686283,0.623843142
0.13802739,0.069013695
1.65144705,0.825723525
3.322635726,1.661317863
-2.00478368,-1.00239184
0.496617768,0.248308884
-2.647156044,-1.323578022
-1.830790551,-0.915395276
0.953087594,0.476543797
4.154353384,2.077176692
-1.83288145,-0.916440725
-0.222989983,-0.111494991
5.995759804,2.997879902
-7.902683754,-3.951341877
-2.497767922,-1.248883961
-5.4073222,-2.7036611
-1.895110879,-0.94755544
-2.237907083,-1.118953541
-0.692267569,-0.346133784
0.113875785,0.056937893
-0.037693538,-0.018846769
-0.676048717,-0.338024358
-0.813350709,-0.406675354
-0.130821282,-0.065410641
-1.478709502,-0.739354751
-1.724871754,-0.862435877
2.047018628,1.023509314
2.806464109,1.403232054
2.998664699,1.49933235
1.323998065,0.661999033
0.236574615,0.118287308
2.960467923,1.480233962
-3.656163773,-1.828081886
-1.143295747,-0.571647873
6.363737453,3.181868726
-0.004235814,-0.002117907
-0.453923789,-0.226961895
3.024253087,1.512126544
6.386025884,3.193012942
0.727146048,0.363573024
0.340199793,0.170099896
-3.464765058,-1.732382529
-2.711885324,-1.355942662
-0.507623375,-0.253811688
-5.740585016,-2.870292508
-3.957001825,-1.978500913
-2.883037227,-1.441518613
-0.871445667,-0.435722834
0.742331637,0.371165818
