u,v
-8.636931535,-1
3.93744373,1
0.439639882,1
1.53756248,1
-3.128581643,-1
-1.057548769,-1
3.51630506,1
1.855799768,1
2.395521657,1
4.697867353,1
-0.43571696,-1
0.242980268,1
10.52745486,1
-2.003314206,-1
-0.86832397,-1
1.420922525,1
0.327686866,1
0.43958994,1
-7.621038942,-1
-0.743606078,-1
-3.848261203,-1
0.040509657,1
3.024480101,1
1.062605236,1
-2.816311726,-1
-0.306424127,-1
1.895222485,1
1.34121578,1
3.542005946,1
-2.00478368,-1
2.170658439,1
2.740005173,1
-0.924429319,-1
4.297662138,1
2.435658989,1
1.628393961,1
2.312805853,1
0.73547321,1
0.449433797,1
-3.746877962,-1
7.103387761,1
-4.24588151,-1
-0.96055459,-1
-2.053804651,-1
-0.263368958,-1
2.651393728,1
-3.240473842,-1
-3.819874896,-1
-2.028958236,-1
-0.25951924,-1
-2.244140765,-1
-3.587648048,-1
-0.176840204,-1
3.737893539,1
-6.816581074,-1
-4.629437369,-1
1.548640606,1
-2.491503762,-1
-0.353964955,-1
0.13802739,1
2.35312713,1
2.623204419,1
-0.477598653,-1
-3.940034476,-1
3.091193487,1
-3.701684354,-1
2.047018628,1
1.940518674,1
-1.123093733,-1
-1.458499491,-1
-1.352955771,-1
-0.02538651,-1
-0.490708473,-1
5.604648344,1
2.193969716,1
2.033952542,1
-1.740648858,-1
1.019745624,1
5.403478726,1
-1.724871754,-1
1.476689144,1
-2.444071898,-1
-3.044783944,-1
-3.097295361,-1
2.053229376,1
2.453305438,1
2.2691004,1
1.91554737,1
4.920999714,1
-4.037581527,-1
3.770997526,1
-1.326075113,-1
0.435931597,1
-2.239331932,-1
-2.605216383,-1
5.268909583,1
4.346937658,1
2.958812508,1
-0.87231466,-1
2.827362883,1
2.310077394,1
2.073297747,1
2.216092285,1
-1.092014354,-1
3.951025764,1
0.222263452,1
0.019293929,1
2.180547025,1
-0.207132947,-1
0.734799081,1
-3.505894512,-1
5.634818661,1
-0.255030983,-1
5.977446291,1
5.37900321,1
-0.72698848,-1
1.097483495,1
-3.935747877,-1
-2.645877777,-1
